Table with row headings in column A and column headings in rows 4 to 6.													
Table 4.  Perceived Health Status by Selected Characteristics and Health Insurance Status: 2002													
(Numbers in thousands.   Only people in the noninstitutionalized population)													
Characteristic & Health Insurance Status	"Total 
Number/
Percent"	"Standard 
Error\1"	Health Status (percent)										
    ..Medicaid	28.08	0.56	27.94	0.94	25.24	0.86	25.60	0.81	35.04	1.20	40.76	1.76	
    ..Publically insured (no private)	28.35	0.53	23.88	0.83	22.87	0.82	27.62	0.75	42.77	1.18	54.74	1.76	
  .Uninsured	26.67	0.44	26.24	0.79	28.26	0.77	30.05	0.73	22.18	0.87	13.86	1.01	
Family income greater than or equal to 200 percent of poverty threshold\2	"187,537"	"1,033"	"69,194"	878	"60,633"	787	"41,325"	644	"12,169"	234	"4,215"	138	
  .Insured (any type)	91.11	0.25	92.20	0.35	91.07	0.36	89.03	0.40	91.11	0.78	94.08	0.90	
    ..Privately insured (alone or  in combination)	86.94	0.27	89.81	0.36	88.55	0.38	83.61	0.47	78.16	1.04	74.54	1.63	
    ..Medicare	12.03	0.15	3.37	0.16	8.36	0.26	19.08	0.48	40.36	1.04	56.33	1.43	
    ..Medicaid	3.90	0.15	3.17	0.18	2.82	0.19	4.55	0.28	7.93	0.51	13.41	1.44	
    ..Publically insured (no private)	4.17	0.13	2.39	0.15	2.52	0.16	5.42	0.28	12.95	0.70	19.54	1.65	
  .Uninsured	8.89	0.25	7.80	0.35	8.93	0.36	10.97	0.40	8.89	0.78	5.92	0.90	
*****Indicates that the estimate is controlled to independent population estimates.  A statistical test for sampling variability is not appropriate.													
Footnotes: 													
"1. Standard error estimates were calculated using replicate weights, Fay's Method."													
"2. The poverty universe is slightly smaller than that reported under ""All People."" The reason for this difference is that individuals aged less than 15, with no cohabitating relatives, have no associated family income information. This is because only individuals aged 15 and older are asked income questions."													
"Source: U.S. Census Bureau, Survey of Income and Program Participation, 2001 Panel, Wave 6 topical module and core survey data. For information on confidentiality protection, sampling and non-sampling error see <http://www.census.gov/sipp/source.html>."													
													
