Table with row headings in column A and column headings in rows 4 to 6.													
Table 4.  Perceived Health Status by Selected Characteristics and Health Insurance Status: 2009													
(Numbers in thousands.   Only people in the noninstitutionalized population)													
Characteristic & Health Insurance Status	"Total 
Number/
Percent"	"Standard 
Error\1"	Health Status (percent)										
    ..Medicaid	32.59	0.39	38.16	0.74	29.25	0.68	28.62	0.59	33.08	0.89	43.86	1.57	
    ..Publically insured (no private)	35.23	0.39	35.76	0.76	29.73	0.68	32.97	0.63	45.77	0.92	57.93	1.42	
  .Uninsured	30.07	0.40	26.34	0.69	32.87	0.62	33.33	0.70	27.84	0.87	19.65	1.29	
Family income greater than or equal to 200 percent of poverty threshold\2	"193,250"	860	"65,404"	728	"66,358"	649	"45,621"	491	"12,679"	223	"3,188"	101	
  .Insured (any type)	90.14	0.18	91.81	0.26	89.89	0.29	88.09	0.36	89.90	0.51	91.52	1.10	
    ..Privately insured (alone or  in combination)	83.93	0.23	87.70	0.31	85.43	0.33	80.35	0.44	73.82	0.82	66.79	1.68	
    ..Medicare	14.52	0.13	4.70	0.17	11.24	0.24	22.93	0.40	41.17	0.84	57.69	1.72	
    ..Medicaid	4.91	0.12	4.68	0.20	3.69	0.18	5.12	0.25	9.09	0.51	15.52	1.23	
    ..Publically insured (no private)	6.21	0.13	4.12	0.20	4.45	0.18	7.74	0.28	16.07	0.73	24.73	1.51	
  .Uninsured	9.86	0.18	8.19	0.26	10.11	0.29	11.91	0.36	10.10	0.51	8.48	1.10	
*****Indicates that the estimate is controlled to independent population estimates.  A statistical test for sampling variability is not appropriate.													
Footnotes: 													
"1. Standard error estimates were calculated using replicate weights, Fay's Method."													
"2. The poverty universe is slightly smaller than that reported under ""All People."" The reason for this difference is that individuals aged less than 15, with no cohabitating relatives, have no associated family income information. This is because only individuals aged 15 and older are asked income questions."													
"Source: U.S. Census Bureau, Survey of Income and Program Participation, 2008 Panel, Wave 4 topical module and core survey data. For information on confidentiality protection, sampling and non-sampling error see <http://www.census.gov/sipp/source.html>."													
													
